Date;Price 
23/02/2023;1826.8
22/02/2023;1841.5
21/02/2023;1842.5
20/02/2023;1842.5
17/02/2023;1850.2
16/02/2023;1851.8
15/02/2023;1845.3
14/02/2023;1865.4
13/02/2023;1863.5
10/02/2023;1874.5
09/02/2023;1878.5
08/02/2023;1890.7
07/02/2023;1884.8
06/02/2023;1879.5
03/02/2023;1876.6
02/02/2023;1930.8
01/02/2023;1942.8
31/01/2023;1945.3
30/01/2023;1939.2
27/01/2023;1936.6
26/01/2023;1937.6
25/01/2023;1950.3
24/01/2023;1943.1
23/01/2023;1936.2
20/01/2023;1935.8
19/01/2023;1931.4
18/01/2023;1914.6
17/01/2023;1917.6
16/01/2023;1909.9
13/01/2023;1929.1
12/01/2023;1906.2
11/01/2023;1886.4
10/01/2023;1884.3
09/01/2023;1885.3
06/01/2023;1876.9
05/01/2023;1848.2
04/01/2023;1866.5
03/01/2023;1853.5
30/12/2022;1833.7
29/12/2022;1833
28/12/2022;1815.8
27/12/2022;1823.1
23/12/2022;1804.2
22/12/2022;1795.3
21/12/2022;1825.4
20/12/2022;1825.4
19/12/2022;1797.7
16/12/2022;1800.2
15/12/2022;1787.8
14/12/2022;1818.7
13/12/2022;1825.5
12/12/2022;1792.3
09/12/2022;1810.7
08/12/2022;1801.5
07/12/2022;1798
06/12/2022;1782.4
05/12/2022;1781.3
02/12/2022;1809.6
01/12/2022;1815.2
30/11/2022;1759.9
29/11/2022;1763.7
28/11/2022;1748.1
25/11/2022;1761.8
24/11/2022;1754
23/11/2022;1753.3
22/11/2022;1747.6
21/11/2022;1747.3
18/11/2022;1762
17/11/2022;1770.6
16/11/2022;1783.5
15/11/2022;1784.2
14/11/2022;1784
11/11/2022;1776.6
10/11/2022;1761
09/11/2022;1721
08/11/2022;1723.1
07/11/2022;1687.6
04/11/2022;1683.6
03/11/2022;1637.8
02/11/2022;1656.9
01/11/2022;1656.9
31/10/2022;1647.4
28/10/2022;1650
27/10/2022;1665.6
26/10/2022;1669.2
25/10/2022;1658
24/10/2022;1654.1
21/10/2022;1656.3
20/10/2022;1636.8
19/10/2022;1634.2
18/10/2022;1655.8
17/10/2022;1664
14/10/2022;1648.9
13/10/2022;1677
12/10/2022;1677.5
11/10/2022;1686
10/10/2022;1675.2
07/10/2022;1709.3
06/10/2022;1720.8
05/10/2022;1720.8
04/10/2022;1730.5
03/10/2022;1702
30/09/2022;1672
29/09/2022;1668.6
28/09/2022;1665.1
27/09/2022;1631.1
26/09/2022;1628.2
23/09/2022;1650
22/09/2022;1676.1
21/09/2022;1670.5
20/09/2022;1665.7
19/09/2022;1672.6
16/09/2022;1677.9
15/09/2022;1671.4
14/09/2022;1703.2
13/09/2022;1712
12/09/2022;1735.6
09/09/2022;1723.6
08/09/2022;1715.3
07/09/2022;1722.8
06/09/2022;1707.9
05/09/2022;1712.9
02/09/2022;1717.7
01/09/2022;1704.4
31/08/2022;1721.4
30/08/2022;1731.6
29/08/2022;1740.5
26/08/2022;1740.6
25/08/2022;1761.8
24/08/2022;1752
23/08/2022;1751.5
22/08/2022;1738.6
19/08/2022;1753
18/08/2022;1761.1
17/08/2022;1766.5
16/08/2022;1779.4
15/08/2022;1787.9
12/08/2022;1805.2
11/08/2022;1796.8
10/08/2022;1803.3
09/08/2022;1801.5
08/08/2022;1794.3
05/08/2022;1780.5
04/08/2022;1796.2
03/08/2022;1766.1
02/08/2022;1779.7
01/08/2022;1777.6
29/07/2022;1771.5
28/07/2022;1759
27/07/2022;1723.3
26/07/2022;1721.9
25/07/2022;1723.2
22/07/2022;1731.4
21/07/2022;1717.3
20/07/2022;1703.9
19/07/2022;1714.1
18/07/2022;1713.8
15/07/2022;1707.5
14/07/2022;1709.9
13/07/2022;1739.5
12/07/2022;1728.9
11/07/2022;1735.9
08/07/2022;1746.7
07/07/2022;1744.1
06/07/2022;1741.3
05/07/2022;1768.9
04/07/2022;1763.9
01/07/2022;1805.9
30/06/2022;1812
29/06/2022;1822
28/06/2022;1821.2
27/06/2022;1824.8
24/06/2022;1830.3
23/06/2022;1829.8
22/06/2022;1838.4
21/06/2022;1838.8
20/06/2022;1838.8
17/06/2022;1840.6
16/06/2022;1849.9
15/06/2022;1819.6
14/06/2022;1813.5
13/06/2022;1831.8
10/06/2022;1875.5
09/06/2022;1852.8
08/06/2022;1856.5
07/06/2022;1852.1
06/06/2022;1843.7
03/06/2022;1850.2
02/06/2022;1871.4
01/06/2022;1848.7
31/05/2022;1848.4
30/05/2022;1848.4
27/05/2022;1857.3
26/05/2022;1850.6
25/05/2022;1849.2
24/05/2022;1868.4
23/05/2022;1850.6
20/05/2022;1844.7
19/05/2022;1844
18/05/2022;1819
17/05/2022;1821.9
16/05/2022;1816.8
13/05/2022;1811.3
12/05/2022;1827.9
11/05/2022;1857.1
10/05/2022;1844.4
09/05/2022;1862
